"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
190,"00128",83.275,83.275,1.925,0.400,1.100,0.825,0.000,0.000,83.275,49.150,0,0.000,0,0.000,0.000
191,"00129",123.250,123.250,1.275,0.575,1.275,0.000,0.000,0.000,123.250,56.728,0,0.000,0,0.000,0.000
192,"00130",92.575,92.575,3.450,1.500,3.450,0.000,0.000,0.000,92.575,63.652,0,0.000,0,0.000,0.000
193,"00131",60.675,60.675,0.400,0.250,0.350,0.050,0.000,0.000,60.675,60.627,0,0.000,0,0.000,0.000
194,"00132",59.825,59.825,1.050,0.700,1.025,0.025,0.000,0.000,59.825,69.867,0,0.000,0,0.000,0.000
195,"00133",35.000,35.000,0.200,0.200,0.200,0.000,0.000,0.000,35.000,45.845,0,0.000,0,0.000,0.000
196,"00134",41.525,41.525,0.525,0.175,0.525,0.000,0.000,0.000,41.525,50.937,0,0.000,0,0.000,0.000
197,"00135",46.825,46.825,0.275,0.275,0.275,0.000,0.000,0.000,46.825,44.272,0,0.000,0,0.000,0.000
198,"00136",44.050,44.050,0.325,0.225,0.325,0.000,0.000,0.000,44.050,49.983,0,0.000,0,0.000,0.000
199,"00137",34.625,34.625,0.275,0.275,0.275,0.000,0.000,0.000,34.625,31.617,0,0.000,0,0.000,0.000
200,"00138",45.500,45.500,0.475,0.225,0.475,0.000,0.000,0.000,45.500,49.570,0,0.000,0,0.000,0.000
201,"00139",34.875,34.875,0.350,0.250,0.350,0.000,0.000,0.000,34.875,35.595,0,0.000,0,0.000,0.000
202,"00140",52.650,52.650,0.275,0.275,0.275,0.000,0.000,0.000,52.650,44.967,0,0.000,0,0.000,0.000
203,"00141",36.450,36.450,0.200,0.200,0.200,0.000,0.000,0.000,36.450,46.029,0,0.000,0,0.000,0.000
204,"00142",28.975,28.975,0.225,0.225,0.225,0.000,0.000,0.000,28.975,34.273,0,0.000,0,0.000,0.000
